fecha,numero_transacciones
2023-03-15,32
2023-03-16,20
2023-03-17,20
2023-03-18,8
2023-03-19,4
2023-03-20,27
2023-03-21,6
2023-03-22,8
2023-03-23,9
2023-03-24,12
2023-03-25,14
2023-03-26,9
2023-03-27,16
2023-03-28,21
2023-03-29,16
2023-03-30,14
2023-03-31,36
2023-04-01,20
2023-04-02,12
2023-04-03,2
2023-04-04,24
2023-04-05,9
2023-04-06,30
2023-04-07,20
2023-04-08,18
2023-04-09,20
2023-04-10,3
2023-04-11,6
2023-04-12,36
2023-04-13,15
2023-04-14,33
2023-04-15,16
2023-04-16,2
2023-04-17,20
2023-04-18,10
2023-04-19,14
2023-04-20,36
2023-04-21,8
2023-04-22,8
2023-04-23,20
2023-04-24,18
2023-04-25,20
2023-04-26,14
2023-04-27,4
2023-04-28,4
2023-04-29,9
2023-04-30,20
2023-05-01,8
2023-05-02,15
2023-05-03,8
2023-05-04,27
2023-05-05,8
2023-05-06,9
2023-05-07,12
2023-05-08,30
2023-05-09,9
2023-05-10,10
2023-05-11,15
2023-05-12,28
2023-05-13,18
2023-05-14,9
2023-05-15,2
2023-05-16,12
2023-05-17,28
2023-05-18,24
2023-05-19,20
2023-05-20,12
2023-05-21,24
2023-05-22,16
2023-05-23,6
2023-05-24,9
2023-05-25,16
2023-05-26,6
2023-05-27,15
2023-05-28,18
2023-05-29,12
2023-05-30,12
2023-05-31,20
2023-06-01,9
2023-06-02,14
2023-06-03,4
2023-06-04,33
2023-06-05,12
2023-06-06,12
2023-06-07,16
2023-06-08,36
2023-06-09,14
2023-06-10,15
2023-06-11,27
2023-06-12,24
2023-06-13,10
2023-06-14,12
2023-06-15,30
2023-06-16,8
2023-06-17,33
2023-06-18,28
2023-06-19,32
2023-06-20,6
2023-06-21,20
2023-06-22,36
2023-06-23,20
2023-06-24,6
2023-06-25,20
2023-06-26,15
2023-06-27,21
2023-06-28,18
2023-06-29,15
2023-06-30,6
2023-07-01,6
2023-07-02,16
2023-07-03,20
2023-07-04,4
2023-07-05,4
2023-07-06,12
2023-07-07,18
2023-07-08,20
2023-07-09,20
2023-07-10,36
2023-07-11,12
2023-07-12,16
2023-07-13,12
2023-07-14,2
2023-07-15,12
2023-07-16,2
2023-07-17,3
2023-07-18,33
2023-07-19,12
2023-07-20,36
2023-07-21,8
2023-07-22,24
2023-07-23,8
2023-07-24,6
2023-07-25,8
2023-07-26,15
2023-07-27,18
2023-07-28,28
2023-07-29,12
2023-07-30,24
2023-07-31,18
2023-08-01,15
2023-08-02,20
2023-08-03,12
2023-08-04,4
2023-08-05,28
2023-08-06,21
2023-08-07,16
2023-08-08,6
2023-08-09,8
2023-08-10,14
2023-08-11,21
2023-08-12,6
2023-08-13,12
2023-08-14,16
2023-08-15,24
2023-08-16,14
2023-08-17,24
2023-08-18,24
2023-08-19,12
2023-08-20,18
2023-08-21,14
2023-08-22,20
2023-08-23,12
2023-08-24,20
2023-08-25,15
2023-08-26,9
2023-08-27,12
2023-08-28,21
2023-08-29,12
2023-08-30,9
2023-08-31,12
2023-09-01,8
2023-09-02,33
2023-09-03,8
2023-09-04,28
2023-09-05,20
2023-09-06,12
2023-09-07,12
2023-09-08,18
2023-09-09,2
2023-09-10,15
2023-09-11,36
2023-09-12,6
2023-09-13,18
2023-09-14,10
2023-09-15,24
2023-09-16,24
2023-09-17,20
2023-09-18,30
2023-09-19,20
2023-09-20,6
2023-09-21,14
2023-09-22,4
2023-09-23,28
2023-09-24,33
2023-09-25,6
2023-09-26,8
2023-09-27,27
2023-09-28,20
2023-09-29,36
2023-09-30,30
2023-10-01,9
2023-10-02,10
2023-10-03,15
2023-10-04,8
2023-10-05,14
2023-10-06,32
2023-10-07,2
2023-10-08,36
2023-10-09,4
2023-10-10,2
2023-10-11,8
2023-10-12,16
2023-10-13,15
2023-10-14,20
2023-10-15,12
2023-10-16,32
2023-10-17,20
2023-10-18,6
2023-10-19,21
2023-10-20,15
2023-10-21,21
2023-10-22,4
2023-10-23,33
2023-10-24,6
2023-10-25,15
2023-10-26,8
2023-10-27,15
2023-10-28,9
2023-10-29,27
2023-10-30,24
2023-10-31,12
2023-11-01,9
2023-11-02,24
2023-11-03,10
2023-11-04,12
2023-11-05,24
2023-11-06,9
2023-11-07,24
2023-11-08,16
2023-11-09,20
2023-11-10,36
2023-11-11,16
2023-11-12,8
2023-11-13,8
2023-11-14,30
2023-11-15,27
2023-11-16,6
2023-11-17,12
2023-11-18,12
2023-11-19,32
2023-11-20,24
2023-11-21,20
2023-11-22,21
2023-11-23,14
2023-11-24,20
2023-11-25,20
2023-11-26,4
2023-11-27,30
2023-11-28,12
2023-11-29,6
2023-11-30,12
2023-12-01,27
2023-12-02,20
2023-12-03,14
2023-12-04,36
2023-12-05,8
2023-12-06,20
2023-12-07,15
2023-12-08,6
2023-12-09,14
2023-12-10,6
2023-12-11,20
2023-12-12,4
2023-12-13,10
2023-12-14,20
2023-12-15,14
2023-12-16,20
2023-12-17,8
2023-12-18,14
2023-12-19,32
2023-12-20,15
2023-12-21,10
2023-12-22,10
2023-12-23,24
2023-12-24,28
2023-12-25,21
2023-12-26,6
2023-12-27,16
2023-12-28,36
2023-12-29,18
2023-12-30,2
2023-12-31,8
2024-01-01,28
2024-01-02,20
2024-01-03,10
2024-01-04,21
2024-01-05,18
2024-01-06,12
2024-01-07,32
2024-01-08,16
2024-01-09,36
2024-01-10,4
2024-01-11,8
2024-01-12,21
2024-01-13,21
2024-01-14,27
2024-01-15,12
2024-01-16,36
2024-01-17,16
2024-01-18,10
2024-01-19,18
2024-01-20,9
2024-01-21,16
2024-01-22,9
2024-01-23,6
2024-01-24,12
2024-01-25,15
2024-01-26,6
2024-01-27,28
2024-01-28,15
2024-01-29,10
2024-01-30,12
2024-01-31,3
2024-02-01,8
2024-02-02,12
2024-02-03,27
2024-02-04,21
2024-02-05,10
2024-02-06,15
2024-02-07,18
2024-02-08,24
2024-02-09,30
2024-02-10,27
2024-02-11,6
2024-02-12,18
2024-02-13,6
2024-02-14,30
2024-02-15,18
2024-02-16,8
2024-02-17,24
2024-02-18,3
2024-02-19,12
2024-02-20,10
2024-02-21,9
2024-02-22,27
2024-02-23,12
2024-02-24,8
2024-02-25,27
2024-02-26,10
2024-02-27,28
2024-02-28,36
2024-02-29,9
2024-03-01,20
2024-03-02,15
2024-03-03,33
2024-03-04,9
2024-03-05,16
2024-03-06,9
2024-03-07,33
2024-03-08,27
2024-03-09,15
2024-03-10,2
2024-03-11,15
2024-03-12,32
2024-03-13,15
2024-03-14,2
2024-03-15,32
2024-03-16,20
2024-03-17,8
2024-03-18,8
2024-03-19,15
2024-03-20,27
2024-03-21,3
2024-03-22,8
2024-03-23,14
2024-03-24,12
2024-03-25,33
2024-03-26,9
2024-03-27,16
2024-03-28,24
2024-03-29,16
2024-03-30,9
2024-03-31,36
2024-04-01,4
2024-04-02,12
2024-04-03,18
2024-04-04,24
2024-04-05,36
2024-04-06,30
2024-04-07,20
2024-04-08,14
2024-04-09,20
2024-04-10,28
2024-04-11,6
2024-04-12,15
2024-04-13,15
2024-04-14,28
2024-04-15,16
2024-04-16,8
2024-04-17,20
2024-04-18,10
2024-04-19,24
2024-04-20,36
2024-04-21,9
2024-04-22,8
2024-04-23,6
2024-04-24,18
2024-04-25,36
2024-04-26,14
2024-04-27,30
2024-04-28,4
2024-04-29,9
2024-04-30,2
2024-05-01,8
2024-05-02,21
2024-05-03,8
2024-05-04,24
2024-05-05,8
2024-05-06,16
2024-05-07,12
2024-05-08,3
2024-05-09,9
2024-05-10,10
2024-05-11,33
2024-05-12,28
2024-05-13,12
2024-05-14,9
2024-05-15,21
2024-05-16,12
2024-05-17,16
2024-05-18,24
2024-05-19,32
2024-05-20,12
2024-05-21,24
2024-05-22,32
2024-05-23,6
2024-05-24,20
2024-05-25,16
2024-05-26,36
2024-05-27,15
2024-05-28,32
2024-05-29,12
2024-05-30,12
2024-05-31,21
2024-06-01,9
2024-06-02,15
2024-06-03,4
2024-06-04,3
2024-06-05,12
2024-06-06,21
2024-06-07,16
2024-06-08,32
2024-06-09,14
2024-06-10,15
2024-06-11,33
2024-06-12,24
2024-06-13,18
2024-06-14,12
2024-06-15,24
2024-06-16,8
2024-06-17,28
2024-06-18,28
2024-06-19,4
2024-06-20,6
2024-06-21,20
2024-06-22,15
2024-06-23,20
2024-06-24,24
2024-06-25,20
2024-06-26,18
2024-06-27,21
2024-06-28,9
2024-06-29,15
2024-06-30,15
2024-07-01,6
2024-07-02,16
2024-07-03,3
2024-07-04,4
2024-07-05,16
2024-07-06,12
2024-07-07,4
2024-07-08,20
2024-07-09,8
2024-07-10,36
2024-07-11,20
2024-07-12,16
2024-07-13,12
2024-07-14,16
2024-07-15,12
2024-07-16,9
2024-07-17,3
2024-07-18,2
2024-07-19,12
2024-07-20,15
2024-07-21,8
2024-07-22,9
2024-07-23,8
2024-07-24,6
2024-07-25,27
2024-07-26,15
2024-07-27,36
2024-07-28,28
2024-07-29,9
2024-07-30,24
2024-07-31,8
2024-08-01,15
2024-08-02,20
2024-08-03,12
2024-08-04,4
2024-08-05,20
2024-08-06,21
2024-08-07,36
2024-08-08,6
2024-08-09,12
2024-08-10,14
2024-08-11,6
2024-08-12,6
2024-08-13,12
2024-08-14,9
2024-08-15,24
2024-08-16,27
2024-08-17,24
2024-08-18,28
2024-08-19,12
2024-08-20,21
2024-08-21,14
2024-08-22,33
2024-08-23,12
2024-08-24,20
2024-08-25,18
2024-08-26,9
2024-08-27,21
2024-08-28,21
2024-08-29,28
2024-08-30,9
2024-08-31,18
2024-09-01,8
2024-09-02,14
2024-09-03,8
2024-09-04,28
2024-09-05,4
2024-09-06,12
2024-09-07,6
2024-09-08,18
2024-09-09,32
2024-09-10,15
2024-09-11,27
2024-09-12,6
2024-09-13,10
2024-09-14,10
2024-09-15,24
2024-09-16,18
2024-09-17,20
2024-09-18,9
2024-09-19,20
2024-09-20,18
2024-09-21,14
2024-09-22,15
2024-09-23,28
2024-09-24,24
2024-09-25,6
2024-09-26,8
2024-09-27,16
2024-09-28,20
2024-09-29,21
2024-09-30,30
2024-10-01,4
2024-10-02,10
2024-10-03,28
2024-10-04,8
2024-10-05,32
2024-10-06,32
2024-10-07,2
2024-10-08,9
2024-10-09,4
2024-10-10,18
2024-10-11,8
2024-10-12,16
2024-10-13,15
2024-10-14,20
2024-10-15,12
2024-10-16,15
2024-10-17,20
2024-10-18,6
2024-10-19,32
2024-10-20,15
2024-10-21,21
2024-10-22,4
2024-10-23,36
2024-10-24,6
2024-10-25,33
2024-10-26,8
2024-10-27,15
2024-10-28,15
2024-10-29,27
2024-10-30,16
2024-10-31,12
2024-11-01,18
2024-11-02,24
2024-11-03,8
2024-11-04,12
2024-11-05,12
2024-11-06,9
2024-11-07,24
2024-11-08,21
2024-11-09,20
2024-11-10,9
2024-11-11,16
2024-11-12,21
2024-11-13,8
2024-11-14,32
2024-11-15,27
2024-11-16,10
2024-11-17,12
2024-11-18,12
2024-11-19,16
2024-11-20,24
2024-11-21,15
2024-11-22,21
2024-11-23,15
2024-11-24,20
2024-11-25,18
2024-11-26,4
2024-11-27,8
2024-11-28,12
2024-11-29,6
2024-11-30,3
2024-12-01,27
2024-12-02,10
2024-12-03,14
2024-12-04,18
2024-12-05,8
2024-12-06,10
2024-12-07,15
2024-12-08,14
2024-12-09,14
2024-12-10,6
2024-12-11,15
2024-12-12,4
2024-12-13,4
2024-12-14,20
2024-12-15,10
2024-12-16,20
2024-12-17,33
2024-12-18,14
2024-12-19,3
2024-12-20,15
2024-12-21,10
2024-12-22,10
2024-12-23,24
2024-12-24,4
2024-12-25,21
2024-12-26,6
2024-12-27,16
2024-12-28,2
2024-12-29,18
2024-12-30,4
2024-12-31,8
